icd10_code	icd10_phe
E505	Vitamin A deficiency with night blindness
Q250	Patent ductus arteriosus
S82424	Nondisplaced transverse fracture of shaft of right fibula
T457X1	Poisoning by anticoagulant antagonists, vitamin K and other coagulants, accidental (unintentional)
M06021	Rheumatoid arthritis without rheumatoid factor, right elbow
O30291	Quadruplet pregnancy, unable to determine number of placenta and number of amniotic sacs, first trimester
Y35001	Legal intervention involving unspecified firearm discharge, law enforcement official injured
Z208	Contact with and (suspected) exposure to other communicable diseases
O3505	Maternal care for (suspected) central nervous system malformation or damage in fetus, holoprosencephaly
S85909	Unspecified injury of unspecified blood vessel at lower leg level, unspecified leg
T22591	Corrosion of first degree of multiple sites of right shoulder and upper limb, except wrist and hand
T25029	Burn of unspecified degree of unspecified foot
M89153	Partial physeal arrest, right proximal femur
S52333	Displaced oblique fracture of shaft of unspecified radius
M89031	Algoneurodystrophy, right forearm
N895	Stricture and atresia of vagina
N048	Nephrotic syndrome with other morphologic changes
P26	Pulmonary hemorrhage originating in the perinatal period
S4241	Simple supracondylar fracture without intercondylar fracture of humerus
H02881	Meibomian gland dysfunction right upper eyelid
I70443	Atherosclerosis of autologous vein bypass graft(s) of the left leg with ulceration of ankle
T3151	Burns involving 50-59% of body surface with 10-19% third degree burns
G0430	Acute necrotizing hemorrhagic encephalopathy, unspecified
Q332	Sequestration of lung
T403X1	Poisoning by methadone, accidental (unintentional)
V274	Motorcycle driver injured in collision with fixed or stationary object in traffic accident
Z55	Problems related to education and literacy
D591	Other autoimmune hemolytic anemias
E74818	Other disorders of glucose transport
M61411	Other calcification of muscle, right shoulder
Z8921	Acquired absence of upper limb below elbow
A040	Enteropathogenic Escherichia coli infection
C46	Kaposi's sarcoma
D719	Functional disorders of polymorphonuclear neutrophils, unspecified
E114	Type 2 diabetes mellitus with neurological complications
M00029	Staphylococcal arthritis, unspecified elbow
S903	Contusion of foot
Y383X	Terrorism involving fires, conflagration and hot substances
R92	Abnormal and inconclusive findings on diagnostic imaging of breast
H4310	Vitreous hemorrhage, unspecified eye
M67219	Synovial hypertrophy, not elsewhere classified, unspecified shoulder
A066	Amebic brain abscess
I69853	Hemiplegia and hemiparesis following other cerebrovascular disease affecting right non-dominant side
T1732	Food in larynx
T3362	Superficial frostbite of left hip and thigh
Z83511	Family history of glaucoma
M2032	Hallux varus (acquired), left foot
M243	Pathological dislocation of joint, not elsewhere classified
S1411	Complete lesion of cervical spinal cord
T1782	Food in other parts of respiratory tract
D694	Other primary thrombocytopenia
E0851	Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy without gangrene
M1A17	Lead-induced chronic gout, ankle and foot
H53461	Homonymous bilateral field defects, right side
T25519	Corrosion of first degree of unspecified ankle
H02859	Elephantiasis of unspecified eye, unspecified eyelid
S20314	Abrasion of middle front wall of thorax
M11271	Other chondrocalcinosis, right ankle and foot
S3703	Laceration of kidney, unspecified degree
Q963	Mosaicism, 45, X/46, XX or XY
T497X6	Underdosing of dental drugs, topically applied
F19959	Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder, unspecified
H20043	Secondary noninfectious iridocyclitis, bilateral
H73001	Acute myringitis, right ear
S62327	Displaced fracture of shaft of fifth metacarpal bone, left hand
H1122	Conjunctival granuloma
L24B1	Irritant contact dermatitis related to digestive stoma or fistula
N931	Pre-pubertal vaginal bleeding
R3982	Chronic bladder pain
S89029	Salter-Harris Type II physeal fracture of upper end of unspecified tibia
S42035	Nondisplaced fracture of lateral end of left clavicle
S68529	Partial traumatic transphalangeal amputation of unspecified thumb
D26	Other benign neoplasms of uterus
T81501	Unspecified complication of foreign body accidentally left in body following infusion or transfusion
V845	Driver of special agricultural vehicle injured in nontraffic accident
F4529	Other hypochondriacal disorders
H31002	Unspecified chorioretinal scars, left eye
H44029	Vitreous abscess (chronic), unspecified eye
S31120	Laceration of abdominal wall with foreign body, right upper quadrant without penetration into peritoneal cavity
H2523	Age-related cataract, morgagnian type, bilateral
M07611	Enteropathic arthropathies, right shoulder
I314	Cardiac tamponade
R250	Abnormal head movements
T71122	Asphyxiation due to plastic bag, intentional self-harm
H263	Drug-induced cataract
M84563	Pathological fracture in neoplastic disease, right fibula
C774	Secondary and unspecified malignant neoplasm of inguinal and lower limb lymph nodes
S59811	Other specified injuries right forearm
S62302	Unspecified fracture of third metacarpal bone, right hand
L98A299	Non-pressure chronic ulcer of unspecified forearm with unspecified severity
H16143	Punctate keratitis, bilateral
D5741	Sickle-cell thalassemia, unspecified, with crisis
N80352	Endometriosis of the left pelvic sidewall, unspecified depth
S3165	Open bite of abdominal wall with penetration into peritoneal cavity
M4842	Fatigue fracture of vertebra, cervical region
Q158	Other specified congenital malformations of eye
H71	Cholesteatoma of middle ear
H18502	Unspecified hereditary corneal dystrophies, left eye
H60502	Unspecified acute noninfective otitis externa, left ear
H44411	Flat anterior chamber hypotony of right eye
H16329	Diffuse interstitial keratitis, unspecified eye
V181	Pedal cycle passenger injured in noncollision transport accident in nontraffic accident
S96921	Laceration of unspecified muscle and tendon at ankle and foot level, right foot
T23722	Corrosion of third degree of single left finger (nail) except thumb
H541215	Low vision right eye category 1, blindness left eye category 5
H11142	Conjunctival xerosis, unspecified, left eye
M0760	Enteropathic arthropathies, unspecified site
D014	Carcinoma in situ of other and unspecified parts of intestine
A546	Gonococcal infection of anus and rectum
G40301	Generalized idiopathic epilepsy and epileptic syndromes, not intractable, with status epilepticus
O1410	Severe pre-eclampsia, unspecified trimester
S2601	Contusion of heart with hemopericardium
O3443	Maternal care for other abnormalities of cervix, third trimester
O89	Complications of anesthesia during the puerperium
H5451	Low vision, right eye, normal vision left eye
M89139	Physeal arrest, forearm, unspecified
S43084	Other dislocation of right shoulder joint
S62256	Nondisplaced fracture of neck of first metacarpal bone, unspecified hand
O2391	Unspecified genitourinary tract infection in pregnancy, first trimester
S278	Injury of other specified intrathoracic organs
C48	Malignant neoplasm of retroperitoneum and peritoneum
V379	Unspecified occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object in traffic accident
I82562	Chronic embolism and thrombosis of left calf muscular vein
Q408	Other specified congenital malformations of upper alimentary tract
F16951	Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder with hallucinations
I70642	Atherosclerosis of nonbiological bypass graft(s) of the left leg with ulceration of calf
M0086	Arthritis due to other bacteria, knee
X061	Exposure to melting of plastic jewelry
M12279	Villonodular synovitis (pigmented), unspecified ankle and foot
E00	Congenital iodine-deficiency syndrome
S7301	Posterior subluxation and dislocation of hip
A5055	Late congenital syphilitic arthropathy
N6049	Mammary duct ectasia of unspecified breast
H5010	Unspecified exotropia
Z3482	Encounter for supervision of other normal pregnancy, second trimester
B355	Tinea imbricata
E0781	Sick-euthyroid syndrome
M10322	Gout due to renal impairment, left elbow
N132	Hydronephrosis with renal and ureteral calculous obstruction
B349	Viral infection, unspecified
S12121	Other nondisplaced dens fracture
M8632	Chronic multifocal osteomyelitis, humerus
E40	Kwashiorkor
S63073	Subluxation of distal end of unspecified ulna
L1089	Other pemphigus
M88852	Osteitis deformans of left thigh
G450	Vertebro-basilar artery syndrome
H49889	Other paralytic strabismus, unspecified eye
T3298	Corrosions involving 90% or more of body surface with 80-89% third degree corrosion
I87331	Chronic venous hypertension (idiopathic) with ulcer and inflammation of right lower extremity
S969	Injury of unspecified muscle and tendon at ankle and foot level
Z018	Encounter for other specified special examinations
A3982	Meningococcal retrobulbar neuritis
S52279	Monteggia's fracture of unspecified ulna
F70	Mild intellectual disabilities
R040	Epistaxis
V567	Person on outside of pick-up truck or van injured in collision with other nonmotor vehicle in traffic accident
M11871	Other specified crystal arthropathies, right ankle and foot
W1812	Fall from or off toilet with subsequent striking against object
T45511	Poisoning by anticoagulants, accidental (unintentional)
O629	Abnormality of forces of labor, unspecified
O892	Central nervous system complications of anesthesia during the puerperium
D3A090	Benign carcinoid tumor of the bronchus and lung
I69253	Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting right non-dominant side
O91119	Abscess of breast associated with pregnancy, unspecified trimester
S31811	Laceration without foreign body of right buttock
M08	Juvenile arthritis
S93439	Sprain of tibiofibular ligament of unspecified ankle
C44129	Squamous cell carcinoma of skin of left eyelid, including canthus
A507	Late congenital syphilis, unspecified
P704	Other neonatal hypoglycemia
S45011	Laceration of axillary artery, right side
O36011	Maternal care for anti-D [Rh] antibodies, first trimester
C11	Malignant neoplasm of nasopharynx
K9183	Postprocedural hepatorenal syndrome
M9937	Osseous stenosis of neural canal of upper extremity
M85452	Solitary bone cyst, left pelvis
T24499	Corrosion of unspecified degree of multiple sites of unspecified lower limb, except ankle and foot
H5042	Monofixation syndrome
