icd9_code	icd9_phe	potential_matches
009	Ill-defined intestinal infections	
034	Streptococcal sore throat and scarlet fever	
0398	Actinomycotic infection of other specified sites	ICD10_code:A438:phenoname:Other forms of nocardiosis|ICD10_code:A4289:phenoname:Other forms of actinomycosis|ICD10_code:A4282:phenoname:Actinomycotic encephalitis|ICD10_code:A4281:phenoname:Actinomycotic meningitis
0399	Actinomycotic infection of unspecified site	ICD10_code:B471:phenoname:Actinomycetoma|ICD10_code:A439:phenoname:Nocardiosis, unspecified|ICD10_code:A429:phenoname:Actinomycosis, unspecified
0414	Escherichia coli [E. coli] infection in conditions classified elsewhere and of unspecified site	
04149	Other and unspecified Escherichia coli [E. coli]	ICD10_code:B9629:phenoname:Other Escherichia coli [E. coli] as the cause of diseases classified elsewhere|ICD10_code:B9620:phenoname:Unspecified Escherichia coli [E. coli] as the cause of diseases classified elsewhere
0418	Other specified bacterial infections in conditions classified elsewhere and of unspecified site	
04181	Other specified bacterial infections in conditions classified elsewhere and of unspecified site, mycoplasma	ICD10_code:B960:phenoname:Mycoplasma pneumoniae [M. pneumoniae] as the cause of diseases classified elsewhere|ICD10_code:A493:phenoname:Mycoplasma infection, unspecified site
0499	Unspecified non-arthropod-borne viral diseases of central nervous system	ICD10_code:A89:phenoname:Unspecified viral infection of central nervous system|ICD10_code:A86:phenoname:Unspecified viral encephalitis
053	Herpes zoster	
054	Herpes simplex	
0541	Genital herpes	
0578	Other specified viral exanthemata	ICD10_code:L444:phenoname:Infantile papular acrodermatitis [Gianotti-Crosti]|ICD10_code:B09:phenoname:Unspecified viral infection characterized by skin and mucous membrane lesions
0663	Other mosquito-borne fever	ICD10_code:B331:phenoname:Ross River disease|ICD10_code:A930:phenoname:Oropouche virus disease|ICD10_code:A928:phenoname:Other specified mosquito-borne viral fevers|ICD10_code:A925:phenoname:Zika virus disease|ICD10_code:A924:phenoname:Rift Valley fever|ICD10_code:A921:phenoname:O'nyong-nyong fever|ICD10_code:A920:phenoname:Chikungunya virus disease
070	Viral hepatitis	
07020	Viral hepatitis B with hepatic coma, acute or unspecified, without mention of hepatitis delta	ICD10_code:B1911:phenoname:Unspecified viral hepatitis B with hepatic coma|ICD10_code:B162:phenoname:Acute hepatitis B without delta-agent with hepatic coma
072	Mumps	
078	Other diseases due to viruses and Chlamydiae	
07889	Other specified diseases due to viruses	ICD10_code:B338:phenoname:Other specified viral diseases|ICD10_code:A984:phenoname:Ebola virus disease|ICD10_code:A983:phenoname:Marburg virus disease
079	Viral and chlamydial infection in conditions classified elsewhere and of unspecified site	
0790	Adenovirus infection in conditions classified elsewhere and of unspecified site	
0798	Other specified viral and chlamydial infections in conditions classified elsewhere and of unspecified site	
07989	Other specified viral infection	ICD10_code:B9789:phenoname:Other viral agents as the cause of diseases classified elsewhere|ICD10_code:B9729:phenoname:Other coronavirus as the cause of diseases classified elsewhere|ICD10_code:B9719:phenoname:Other enterovirus as the cause of diseases classified elsewhere|ICD10_code:B348:phenoname:Other viral infections of unspecified site|ICD10_code:B344:phenoname:Papovavirus infection, unspecified|ICD10_code:B342:phenoname:Coronavirus infection, unspecified|ICD10_code:B341:phenoname:Enterovirus infection, unspecified|ICD10_code:B338:phenoname:Other specified viral diseases
0799	Unspecified viral and chlamydial infection in conditions classified elsewhere and of unspecified site	
0888	Other specified arthropod-borne diseases	
097	Other and unspecified syphilis	
098	Gonococcal infections	
09889	Gonococcal infection of other specified sites	ICD10_code:A5489:phenoname:Other gonococcal infections|ICD10_code:A5486:phenoname:Gonococcal sepsis
