icd9_code	icd9_phe	potential_matches
83402	Closed dislocation of interphalangeal (joint), hand	ICD10_code:S63299A:phenoname:Dislocation of distal interphalangeal joint of unspecified finger, initial encounter|ICD10_code:S63289A:phenoname:Dislocation of proximal interphalangeal joint of unspecified finger, initial encounter|ICD10_code:S63279A:phenoname:Dislocation of unspecified interphalangeal joint of unspecified finger, initial encounter|ICD10_code:S63126A:phenoname:Dislocation of interphalangeal joint of unspecified thumb, initial encounter
1724	Malignant melanoma of skin of scalp and neck	ICD10_code:D034:phenoname:Melanoma in situ of scalp and neck|ICD10_code:C434:phenoname:Malignant melanoma of scalp and neck
20501	Acute myeloid leukemia, in remission	ICD10_code:C9251:phenoname:Acute myelomonocytic leukemia, in remission|ICD10_code:C9241:phenoname:Acute promyelocytic leukemia, in remission|ICD10_code:C9201:phenoname:Acute myeloblastic leukemia, in remission
2395	Neoplasm of unspecified nature of other genitourinary organs	ICD10_code:D4959:phenoname:Neoplasm of unspecified behavior of other genitourinary organ|ICD10_code:D49519:phenoname:Neoplasm of unspecified behavior of unspecified kidney|ICD10_code:D49512:phenoname:Neoplasm of unspecified behavior of left kidney|ICD10_code:D49511:phenoname:Neoplasm of unspecified behavior of right kidney
80225	Closed fracture of mandible, angle of jaw	ICD10_code:S02652A:phenoname:Fracture of angle of left mandible, initial encounter for closed fracture|ICD10_code:S02651A:phenoname:Fracture of angle of right mandible, initial encounter for closed fracture|ICD10_code:S02650A:phenoname:Fracture of angle of mandible, unspecified side, initial encounter for closed fracture
9032	Injury to radial blood vessels	ICD10_code:S65109A:phenoname:Unspecified injury of radial artery at wrist and hand level of unspecified arm, initial encounter|ICD10_code:S55109A:phenoname:Unspecified injury of radial artery at forearm level, unspecified arm, initial encounter
51882	Other pulmonary insufficiency, not elsewhere classified	ICD10_code:R0603:phenoname:Acute respiratory distress|ICD10_code:J80:phenoname:Acute respiratory distress syndrome
67634	Other and unspecified disorder of breast associated with childbirth, postpartum condition or complication	ICD10_code:O9229:phenoname:Other disorders of breast associated with pregnancy and the puerperium|ICD10_code:O9220:phenoname:Unspecified disorder of breast associated with pregnancy and the puerperium
6808	Carbuncle and furuncle of other specified sites	ICD10_code:L02838:phenoname:Carbuncle of other sites|ICD10_code:L02831:phenoname:Carbuncle of head [any part, except face]|ICD10_code:L02828:phenoname:Furuncle of other sites|ICD10_code:L02821:phenoname:Furuncle of head [any part, except face]
82520	Closed fracture of unspecified bone(s) of foot [except toes]	ICD10_code:S92909A:phenoname:Unspecified fracture of unspecified foot, initial encounter for closed fracture|ICD10_code:S92819A:phenoname:Other fracture of unspecified foot, initial encounter for closed fracture
34541	Localization-related (focal) (partial) epilepsy and epileptic syndromes with complex partial seizures, with intractable epilepsy	ICD10_code:G40219:phenoname:Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, intractable, without status epilepticus|ICD10_code:G40211:phenoname:Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, intractable, with status epilepticus
17331	Basal cell carcinoma of skin of other and unspecified parts of face	ICD10_code:C44319:phenoname:Basal cell carcinoma of skin of other parts of face|ICD10_code:C44311:phenoname:Basal cell carcinoma of skin of nose|ICD10_code:C44310:phenoname:Basal cell carcinoma of skin of unspecified parts of face
71104	Pyogenic arthritis, hand	ICD10_code:M00849:phenoname:Arthritis due to other bacteria, unspecified hand|ICD10_code:M00249:phenoname:Other streptococcal arthritis, unspecified hand|ICD10_code:M00149:phenoname:Pneumococcal arthritis, unspecified hand|ICD10_code:M00049:phenoname:Staphylococcal arthritis, unspecified hand
56961	Infection of colostomy or enterostomy	ICD10_code:K9412:phenoname:Enterostomy infection|ICD10_code:K9402:phenoname:Colostomy infection
94329	Blisters, epidermal loss [second degree] of multiple sites of upper limb, except wrist and hand	ICD10_code:T22699A:phenoname:Corrosion of second degree of multiple sites of unspecified shoulder and upper limb, except wrist and hand, initial encounter|ICD10_code:T22299A:phenoname:Burn of second degree of multiple sites of unspecified shoulder and upper limb, except wrist and hand, initial encounter
20020	Burkitt's tumor or lymphoma, unspecified site, extranodal and solid organ sites	ICD10_code:C8379:phenoname:Burkitt lymphoma, extranodal and solid organ sites|ICD10_code:C8370:phenoname:Burkitt lymphoma, unspecified site
81242	Closed fracture of lateral condyle of humerus	ICD10_code:S42456A:phenoname:Nondisplaced fracture of lateral condyle of unspecified humerus, initial encounter for closed fracture|ICD10_code:S42453A:phenoname:Displaced fracture of lateral condyle of unspecified humerus, initial encounter for closed fracture|ICD10_code:S42436A:phenoname:Nondisplaced fracture (avulsion) of lateral epicondyle of unspecified humerus, initial encounter for closed fracture|ICD10_code:S42433A:phenoname:Displaced fracture (avulsion) of lateral epicondyle of unspecified humerus, initial encounter for closed fracture
7088	Other specified urticaria	ICD10_code:L508:phenoname:Other urticaria|ICD10_code:L506:phenoname:Contact urticaria
81101	Closed fracture of acromial process of scapula	ICD10_code:S42126A:phenoname:Nondisplaced fracture of acromial process, unspecified shoulder, initial encounter for closed fracture|ICD10_code:S42123A:phenoname:Displaced fracture of acromial process, unspecified shoulder, initial encounter for closed fracture
36924	Better eye: moderate vision impairment; lesser eye: severe vision impairment	ICD10_code:H542X21:phenoname:Low vision right eye category 2, low vision left eye category 1|ICD10_code:H542X12:phenoname:Low vision right eye category 1, low vision left eye category 2
52463	Temporomandibular joint disorders, articular disc disorder (reducing or non-reducing)	ICD10_code:M26639:phenoname:Articular disc disorder of temporomandibular joint, unspecified side|ICD10_code:M26633:phenoname:Articular disc disorder of bilateral temporomandibular joint|ICD10_code:M26632:phenoname:Articular disc disorder of left temporomandibular joint|ICD10_code:M26631:phenoname:Articular disc disorder of right temporomandibular joint
3007	Hypochondriasis	ICD10_code:F4522:phenoname:Body dysmorphic disorder|ICD10_code:F4521:phenoname:Hypochondriasis
1120	Candidiasis of mouth	ICD10_code:B3783:phenoname:Candidal cheilitis|ICD10_code:B370:phenoname:Candidal stomatitis
7522	Doubling of uterus	ICD10_code:Q512:phenoname:NaN|ICD10_code:Q5110:phenoname:Doubling of uterus with doubling of cervix and vagina without obstruction
56089	Other specified intestinal obstruction	ICD10_code:K56699:phenoname:Other intestinal obstruction unspecified as to partial versus complete obstruction|ICD10_code:K56691:phenoname:Other complete intestinal obstruction|ICD10_code:K56690:phenoname:Other partial intestinal obstruction
6800	Carbuncle and furuncle of face	ICD10_code:L0203:phenoname:Carbuncle of face|ICD10_code:L0202:phenoname:Furuncle of face
99683	Complications of transplanted heart	ICD10_code:T8622:phenoname:Heart transplant failure|ICD10_code:T8621:phenoname:Heart transplant rejection|ICD10_code:T8620:phenoname:Unspecified complication of heart transplant
5951	Chronic interstitial cystitis	ICD10_code:N3011:phenoname:Interstitial cystitis (chronic) with hematuria|ICD10_code:N3010:phenoname:Interstitial cystitis (chronic) without hematuria
5953	Trigonitis	ICD10_code:N3031:phenoname:Trigonitis with hematuria|ICD10_code:N3030:phenoname:Trigonitis without hematuria
9696	Poisoning by psychodysleptics (hallucinogens)	ICD10_code:T40994A:phenoname:Poisoning by other psychodysleptics [hallucinogens], undetermined, initial encounter|ICD10_code:T40993A:phenoname:Poisoning by other psychodysleptics [hallucinogens], assault, initial encounter|ICD10_code:T40992A:phenoname:Poisoning by other psychodysleptics [hallucinogens], intentional self-harm, initial encounter|ICD10_code:T40991A:phenoname:Poisoning by other psychodysleptics [hallucinogens], accidental (unintentional), initial encounter|ICD10_code:T40904A:phenoname:Poisoning by unspecified psychodysleptics [hallucinogens], undetermined, initial encounter|ICD10_code:T40903A:phenoname:Poisoning by unspecified psychodysleptics [hallucinogens], assault, initial encounter|ICD10_code:T40902A:phenoname:Poisoning by unspecified psychodysleptics [hallucinogens], intentional self-harm, initial encounter|ICD10_code:T40901A:phenoname:Poisoning by unspecified psychodysleptics [hallucinogens], accidental (unintentional), initial encounter|ICD10_code:T408X4A:phenoname:Poisoning by lysergide [LSD], undetermined, initial encounter|ICD10_code:T408X3A:phenoname:Poisoning by lysergide [LSD], assault, initial encounter|ICD10_code:T408X2A:phenoname:Poisoning by lysergide [LSD], intentional self-harm, initial encounter|ICD10_code:T407X4A:phenoname:Poisoning by cannabis (derivatives), undetermined, initial encounter|ICD10_code:T407X3A:phenoname:Poisoning by cannabis (derivatives), assault, initial encounter|ICD10_code:T407X2A:phenoname:Poisoning by cannabis (derivatives), intentional self-harm, initial encounter|ICD10_code:T407X1A:phenoname:Poisoning by cannabis (derivatives), accidental (unintentional), initial encounter
83401	Closed dislocation of metacarpophalangeal (joint)	ICD10_code:S63269A:phenoname:Dislocation of metacarpophalangeal joint of unspecified finger, initial encounter|ICD10_code:S63116A:phenoname:Dislocation of metacarpophalangeal joint of unspecified thumb, initial encounter
1729	Melanoma of skin, site unspecified	ICD10_code:D039:phenoname:Melanoma in situ, unspecified|ICD10_code:C439:phenoname:Malignant melanoma of skin, unspecified
7534	Other specified anomalies of ureter	ICD10_code:Q628:phenoname:Other congenital malformations of ureter|ICD10_code:Q6263:phenoname:Anomalous implantation of ureter|ICD10_code:Q6262:phenoname:Displacement of ureter|ICD10_code:Q6261:phenoname:Deviation of ureter|ICD10_code:Q625:phenoname:Duplication of ureter|ICD10_code:Q624:phenoname:Agenesis of ureter
6200	Follicular cyst of ovary	ICD10_code:N8302:phenoname:Follicular cyst of left ovary|ICD10_code:N8301:phenoname:Follicular cyst of right ovary|ICD10_code:N8300:phenoname:Follicular cyst of ovary, unspecified side
94416	Erythema [first degree] of back of hand	ICD10_code:T23569A:phenoname:Corrosion of first degree of back of unspecified hand, initial encounter|ICD10_code:T23169A:phenoname:Burn of first degree of back of unspecified hand, initial encounter
2858	Other specified anemias	ICD10_code:D6489:phenoname:Other specified anemias|ICD10_code:D644:phenoname:Congenital dyserythropoietic anemia
30591	Other, mixed, or unspecified drug abuse, continuous	ICD10_code:F1910:phenoname:Other psychoactive substance abuse, uncomplicated|ICD10_code:F1810:phenoname:Inhalant abuse, uncomplicated
6930	Dermatitis due to drugs and medicines taken internally	ICD10_code:L271:phenoname:Localized skin eruption due to drugs and medicaments taken internally|ICD10_code:L270:phenoname:Generalized skin eruption due to drugs and medicaments taken internally
8362	Other tear of cartilage or meniscus of knee, current	ICD10_code:S8330XA:phenoname:Tear of articular cartilage of unspecified knee, current, initial encounter|ICD10_code:S83209A:phenoname:Unspecified tear of unspecified meniscus, current injury, unspecified knee, initial encounter
99680	Complications of transplanted organ, unspecified	ICD10_code:T8699:phenoname:Other complications of unspecified transplanted organ and tissue|ICD10_code:T8692:phenoname:Unspecified transplanted organ and tissue failure|ICD10_code:T8691:phenoname:Unspecified transplanted organ and tissue rejection|ICD10_code:T8690:phenoname:Unspecified complication of unspecified transplanted organ and tissue
8027	Open fracture of orbital floor (blow-out)	ICD10_code:S0232XB:phenoname:Fracture of orbital floor, left side, initial encounter for open fracture|ICD10_code:S0231XB:phenoname:Fracture of orbital floor, right side, initial encounter for open fracture|ICD10_code:S0230XB:phenoname:Fracture of orbital floor, unspecified side, initial encounter for open fracture
81341	Closed Colles' fracture	ICD10_code:S52549A:phenoname:Smith's fracture of unspecified radius, initial encounter for closed fracture|ICD10_code:S52539A:phenoname:Colles' fracture of unspecified radius, initial encounter for closed fracture
71834	Recurrent dislocation of joint, hand	ICD10_code:M24446:phenoname:Recurrent dislocation, unspecified finger|ICD10_code:M24443:phenoname:Recurrent dislocation, unspecified hand
56969	Other colostomy and enterostomy complication	ICD10_code:K9419:phenoname:Other complications of enterostomy|ICD10_code:K9409:phenoname:Other complications of colostomy
38050	Acquired stenosis of external ear canal, unspecified as to cause	ICD10_code:H61399:phenoname:Other acquired stenosis of external ear canal, unspecified ear|ICD10_code:H61309:phenoname:Acquired stenosis of external ear canal, unspecified, unspecified ear
8251	Fracture of calcaneus, open	ICD10_code:S99099B:phenoname:Other physeal fracture of unspecified calcaneus, initial encounter for open fracture|ICD10_code:S99049B:phenoname:Salter-Harris Type IV physeal fracture of unspecified calcaneus, initial encounter for open fracture|ICD10_code:S99039B:phenoname:Salter-Harris Type III physeal fracture of unspecified calcaneus, initial encounter for open fracture|ICD10_code:S99029B:phenoname:Salter-Harris Type II physeal fracture of unspecified calcaneus, initial encounter for open fracture|ICD10_code:S99019B:phenoname:Salter-Harris Type I physeal fracture of unspecified calcaneus, initial encounter for open fracture|ICD10_code:S99009B:phenoname:Unspecified physeal fracture of unspecified calcaneus, initial encounter for open fracture|ICD10_code:S92009B:phenoname:Unspecified fracture of unspecified calcaneus, initial encounter for open fracture
83412	Open dislocation interphalangeal (joint), hand	ICD10_code:S63279A:phenoname:Dislocation of unspecified interphalangeal joint of unspecified finger, initial encounter|ICD10_code:S63126A:phenoname:Dislocation of interphalangeal joint of unspecified thumb, initial encounter|ICD10_code:S61209A:phenoname:Unspecified open wound of unspecified finger without damage to nail, initial encounter|ICD10_code:S61009A:phenoname:Unspecified open wound of unspecified thumb without damage to nail, initial encounter
75619	Other anomalies of spine	ICD10_code:Q7649:phenoname:Other congenital malformations of spine, not associated with scoliosis|ICD10_code:Q76419:phenoname:Congenital kyphosis, unspecified region
71108	Pyogenic arthritis, other specified sites	ICD10_code:M009:phenoname:Pyogenic arthritis, unspecified|ICD10_code:M0088:phenoname:Arthritis due to other bacteria, vertebrae|ICD10_code:M0028:phenoname:Other streptococcal arthritis, vertebrae|ICD10_code:M0018:phenoname:Pneumococcal arthritis, vertebrae|ICD10_code:M0008:phenoname:Staphylococcal arthritis, vertebrae
94127	Blisters, epidermal loss [second degree] of forehead and cheek	ICD10_code:T2066XA:phenoname:Corrosion of second degree of forehead and cheek, initial encounter|ICD10_code:T2026XA:phenoname:Burn of second degree of forehead and cheek, initial encounter
75160	Unspecified anomaly of gallbladder, bile ducts, and liver	ICD10_code:Q447:phenoname:Other congenital malformations of liver|ICD10_code:Q445:phenoname:Other congenital malformations of bile ducts|ICD10_code:Q441:phenoname:Other congenital malformations of gallbladder
78630	Hemoptysis, unspecified	ICD10_code:R049:phenoname:Hemorrhage from respiratory passages, unspecified|ICD10_code:R042:phenoname:Hemoptysis
5778	Other specified diseases of pancreas	ICD10_code:K8689:phenoname:Other specified diseases of pancreas|ICD10_code:K8681:phenoname:Exocrine pancreatic insufficiency|ICD10_code:K861:phenoname:Other chronic pancreatitis
65650	Poor fetal growth, affecting management of mother, unspecified as to episode of care or not applicable	ICD10_code:O365990:phenoname:Maternal care for other known or suspected poor fetal growth, unspecified trimester, not applicable or unspecified|ICD10_code:O365190:phenoname:Maternal care for known or suspected placental insufficiency, unspecified trimester, not applicable or unspecified
82535	Open fracture of metatarsal bone(s)	ICD10_code:S99199B:phenoname:Other physeal fracture of unspecified metatarsal, initial encounter for open fracture|ICD10_code:S99149B:phenoname:Salter-Harris Type IV physeal fracture of unspecified metatarsal, initial encounter for open fracture|ICD10_code:S99139B:phenoname:Salter-Harris Type III physeal fracture of unspecified metatarsal, initial encounter for open fracture|ICD10_code:S99129B:phenoname:Salter-Harris Type II physeal fracture of unspecified metatarsal, initial encounter for open fracture|ICD10_code:S99119B:phenoname:Salter-Harris Type I physeal fracture of unspecified metatarsal, initial encounter for open fracture|ICD10_code:S99109B:phenoname:Unspecified physeal fracture of unspecified metatarsal, initial encounter for open fracture|ICD10_code:S92309B:phenoname:Fracture of unspecified metatarsal bone(s), unspecified foot, initial encounter for open fracture
61801	Cystocele, midline	ICD10_code:N8111:phenoname:Cystocele, midline|ICD10_code:N8110:phenoname:Cystocele, unspecified
66702	Retained placenta without hemorrhage, delivered, with mention of postpartum complication	ICD10_code:O730:phenoname:Retained placenta without hemorrhage|ICD10_code:O43231:phenoname:Placenta percreta, first trimester
6823	Cellulitis and abscess of upper arm and forearm	ICD10_code:L03129:phenoname:Acute lymphangitis of unspecified part of limb|ICD10_code:L03119:phenoname:Cellulitis of unspecified part of limb
